serial number,P.O. number,Company,date of order,ship date,Comments,inv number,Unknown
1811629,2034,Premier,11/7/2018,11/21/2018,6' standard tongue and right edger,100611,392255
1811630,2053,Premier,11/12/2018,11/21/2018,6' standard left edger,100612,392255
1811510MP,2061,Premier,11/14/2018,11/30/2018,5' Mini Pro,100614,392256
1811605P,2063,Premier,11/15/2018,12/5/2018,6' Pro,100615,392257
1811708P,2070,Premier,11/16/2018,12/13/2018,7' Pro,100616,392258
1812602PL,2075,Premier,11/19/2018,1/14/2019,6' Pro Lite,100618,392263
1812631T,2079,Premier,11/20/2018,12/19/2018,6' Standard (Tiltable S-Tines) w/Tongue,100619,392259
1812632,2097,Premier,11/27/2018,12/19/2018,6' Standard,100620,392259
1812603PL,2102,Premier,11/28/2018,12/27/2018,6' Pro Lite,100621,392261
1812633T,2112,Premier,11/30/2018,1/9/2019,6' Standard (Tiltable S-Tines) w/Tongue,100624,392262
1812709P,2113,Premier,11/30/2018,1/18/2019,7' Pro,100625,392264
1812604PL,2126,Premier,12/3/2018,1/23/2019,6' Pro Lite,100626,392265
1812605PL,2162,Premier,12/6/2018,12/20/2018,6' Pro Lite,100627,392260
,2163,Premier,12/13/2018,,5' Standard W/Tongue,,
1901602,2173,Premier,12/19/2018,1/23/2019,6' Standard W/Tongue and Edger (Right),100628,392265
1901501T,2176,Premier,12/20/2018,1/23/2019,5' Standard Tilt Tine W/Edger (Right) and Tongue,100637,392265
1901601MP,2178,Premier,12/21/2018,,6' Mini Pro,100638,
1901701P,2180,Premier,12/27/2018,,7' Pro,100641,
1901603T,2181,Premier,1/2/2019,,6' Standard Tilt Tine W/Tongue,100642,
1901604T,2199,premier,1/3/2019,,6' Standard Tilt Tine W/Tongue,100643,
1901601PL,2217,premier,1/7/2019,,6' Pro Lite,100644,
,2219,premier,1/7/2019,,5' Standard Tilt Tine W/Edger (Left),,
1901601T,2227,Premier,1/9/2019,1/14/2019,6' Standard (Tiltable S-Tines) ,100634,392263
,2245,Premier,1/16/2019,,6' Pro,,
1902605T,2298,Premier,2/4/2019,3/6/2019,6' Standard Tilt Tine W/Tongue and Edger (Right),100653,392272
1902702P,2329,Premier,2/18/2019,2/27/2019,7' Pro,100655,392271
1902606,2338,Premier,2/20/2019,,6' Standard W/Tongue and Edger (Right),100656,
1902607,2338,Premier,2/20/2019,,6' Standard W/Tongue,100656,
1903602PL,2351,Premier,2/28/2019,,6' Pro Lite,,
1903501MP,2356,Premier,3/5/2019,,5' Mini Pro,,
1903703P,2369,Premier,3/7/2019,,7' Pro,,
,14,Premier,,,left edger only,,
1902608,1,Burke's ,,2/22/2019,6' Standard (Orange),,392270
1802701,1,Ed,,,7' Standard (Black),,
1807619PT,,Premier,,,6' Prototype,,974779
1712620,1,Burkes Tractor,,12/22/2017,,6' Standard (Orange),
